decil,n,n_bad,score_min,score_max,score_mean,n_good,bad_rate,pct_pop,pct_bad,cum_bad_pct,cum_pop_pct,lift
1,87437,46107,0.4210865871780261,0.9048727996505689,0.52521647754622,41330,52.73168109610348,10.0,24.732330601210144,24.732330601210144,10.0,2.4732330601210144
2,87437,32334,0.3210600194492812,0.42108518530042516,0.3665912000961855,55103,36.97976829031188,10.0,17.344333347637644,42.07666394884779,20.0,1.7344333347637642
3,87437,25627,0.2544334281559683,0.3210596833233955,0.285799462608705,61810,29.309102553838763,10.0,13.746620606788825,55.82328455563661,30.0,1.3746620606788824
4,87437,20301,0.20648523570621433,0.2544328176125873,0.22928831769043792,67136,23.217859716138477,10.0,10.889692314294297,66.71297686993091,40.0,1.0889692314294297
5,87437,16760,0.17063012204739722,0.20648313711801491,0.18821789460316052,70677,19.168086736736164,10.0,8.990258764965885,75.7032356348968,50.0,0.8990258764965884
6,87437,13737,0.13701440083511415,0.17062925851334257,0.15388164246999486,73700,15.710740304447773,10.0,7.368686435222932,83.07192207011973,60.0,0.7368686435222932
7,87437,11161,0.10949749140246924,0.13701398742013482,0.12290814373218815,76276,12.764619097178539,10.0,5.986890099987126,89.05881217010685,70.0,0.5986890099987126
8,87437,8938,0.0843536741943313,0.1094972172600664,0.09666062370390544,78499,10.222217139197365,10.0,4.794447066901257,93.8532592370081,80.0,0.47944470669012573
9,87437,7026,0.0629488058256283,0.08435318590484936,0.07345068430910637,80411,8.03549984560312,10.0,3.768828047890829,97.62208728489894,90.0,0.3768828047890829
10,87437,4433,0.011581993549914781,0.06294815156242964,0.04896033971307935,83004,5.069936068254858,10.0,2.37791271510106,100.0,100.0,0.23779127151010598
