MODELO,CONJ FEATURES,BASE,AUC,KS
LGBM,+Telco,TREINO (CONS),0.72729,0.33667
LGBM,+Telco,OOS - 202410,0.73042,0.34309
LGBM,+Telco,OOS - 202411,0.73149,0.34463
LGBM,+Telco,OOS - 202412,0.71475,0.31707
LGBM,+Telco,OOS - 202501,0.71657,0.32115
LGBM,+Telco,OOS (CONS),0.72325,0.33112
LGBM,+Telco,OOT - 202502,0.7045,0.30361
LGBM,+Telco,OOT - 202503,0.71283,0.31631
LGBM,+Telco,OOT GERAL (CONS),0.70881,0.31008
LR,+Recarga,TREINO - 202410,0.74042,0.35663
LR,+Recarga,TREINO - 202411,0.74187,0.36128
LR,+Recarga,TREINO - 202412,0.7267,0.3388
LR,+Recarga,TREINO / VAL - 202501,0.73024,0.34402
LR,+Recarga,TREINO (CONS),0.73468,0.34912
LR,+Recarga,OOS - 202410,0.74123,0.36028
LR,+Recarga,OOS - 202411,0.74268,0.36189
LR,+Recarga,OOS - 202412,0.72678,0.33746
LR,+Recarga,OOS - 202501,0.72939,0.34134
LR,+Recarga,OOS (CONS),0.73488,0.34987
LR,+Recarga,OOT - 202502,0.71638,0.32231
LR,+Recarga,OOT - 202503,0.72443,0.33524
LR,+Recarga,OOT GERAL (CONS),0.72054,0.32895
LGBM,+Recarga,TREINO - 202410,0.75126,0.37236
LGBM,+Recarga,TREINO - 202411,0.75304,0.376
LGBM,+Recarga,TREINO - 202412,0.7391,0.35641
LGBM,+Recarga,TREINO / VAL - 202501,0.74175,0.3597
LGBM,+Recarga,TREINO (CONS),0.74626,0.36496
LGBM,+Recarga,OOS - 202410,0.74737,0.36874
LGBM,+Recarga,OOS - 202411,0.74899,0.3709
LGBM,+Recarga,OOS - 202412,0.73304,0.34684
LGBM,+Recarga,OOS - 202501,0.73569,0.35071
LGBM,+Recarga,OOS (CONS),0.74123,0.35861
LGBM,+Recarga,OOT - 202502,0.723,0.33174
LGBM,+Recarga,OOT - 202503,0.73066,0.34443
LGBM,+Recarga,OOT GERAL (CONS),0.72695,0.33823
LR,+Pagamento,TREINO - 202410,0.7421,0.35933
LR,+Pagamento,TREINO - 202411,0.74339,0.3619
LR,+Pagamento,TREINO - 202412,0.72867,0.34069
LR,+Pagamento,TREINO / VAL - 202501,0.73154,0.34492
LR,+Pagamento,TREINO (CONS),0.73636,0.35068
LR,+Pagamento,OOS - 202410,0.74286,0.36167
LR,+Pagamento,OOS - 202411,0.74404,0.36373
LR,+Pagamento,OOS - 202412,0.728,0.33791
LR,+Pagamento,OOS - 202501,0.73064,0.34343
LR,+Pagamento,OOS (CONS),0.73631,0.35145
LR,+Pagamento,OOT - 202502,0.71851,0.32454
LR,+Pagamento,OOT - 202503,0.7256,0.33614
LR,+Pagamento,OOT GERAL (CONS),0.72218,0.33042
LGBM,+Pagamento,TREINO - 202410,0.75319,0.37273
LGBM,+Pagamento,TREINO - 202411,0.75448,0.37806
LGBM,+Pagamento,TREINO - 202412,0.74079,0.35719
LGBM,+Pagamento,TREINO / VAL - 202501,0.74364,0.36056
LGBM,+Pagamento,TREINO (CONS),0.74801,0.36625
LGBM,+Pagamento,OOS - 202410,0.74889,0.36977
LGBM,+Pagamento,OOS - 202411,0.75021,0.37086
LGBM,+Pagamento,OOS - 202412,0.73434,0.34657
LGBM,+Pagamento,OOS - 202501,0.73692,0.35076
LGBM,+Pagamento,OOS (CONS),0.74257,0.35905
LGBM,+Pagamento,OOT - 202502,0.72509,0.33326
LGBM,+Pagamento,OOT - 202503,0.73234,0.3461
LGBM,+Pagamento,OOT GERAL (CONS),0.72883,0.33989
LR,+Faturamento,TREINO - 202410,0.74369,0.36001
LR,+Faturamento,TREINO - 202411,0.74516,0.36287
LR,+Faturamento,TREINO - 202412,0.73057,0.34337
LR,+Faturamento,TREINO / VAL - 202501,0.73368,0.34801
LR,+Faturamento,TREINO (CONS),0.73822,0.3527
LR,+Faturamento,OOS - 202410,0.74447,0.36336
LR,+Faturamento,OOS - 202411,0.74583,0.36586
LR,+Faturamento,OOS - 202412,0.72968,0.3399
LR,+Faturamento,OOS - 202501,0.73252,0.34563
LR,+Faturamento,OOS (CONS),0.73806,0.35326
LR,+Faturamento,OOT - 202502,0.72086,0.32682
LR,+Faturamento,OOT - 202503,0.72761,0.33895
LR,+Faturamento,OOT GERAL (CONS),0.72435,0.33286
LGBM,+Faturamento,TREINO - 202410,0.7554,0.37405
LGBM,+Faturamento,TREINO - 202411,0.75633,0.38057
LGBM,+Faturamento,TREINO - 202412,0.74309,0.35902
LGBM,+Faturamento,TREINO / VAL - 202501,0.7461,0.36222
LGBM,+Faturamento,TREINO (CONS),0.75022,0.36841
LGBM,+Faturamento,OOS - 202410,0.75098,0.37111
LGBM,+Faturamento,OOS - 202411,0.75218,0.37208
LGBM,+Faturamento,OOS - 202412,0.73654,0.34896
LGBM,+Faturamento,OOS - 202501,0.73936,0.3531
LGBM,+Faturamento,OOS (CONS),0.74475,0.36059
LGBM,+Faturamento,OOT - 202502,0.72797,0.33544
LGBM,+Faturamento,OOT - 202503,0.73421,0.34769
LGBM,+Faturamento,OOT GERAL (CONS),0.73119,0.34161
