cutoff,n_top,overlap,swap_in,swap_out,overlap_pct,swap_in_pct,swap_out_pct,capture_rate,default_rate_model,default_rate_oracle
5%,43718,25834,17884,17884,59.09236470103847,40.90763529896152,40.90763529896152,13.857657812298847,59.09236470103847,100.0
10%,87437,46107,41330,41330,52.73168109610348,47.26831890389652,47.26831890389652,24.732330601210144,52.73168109610348,100.0
20%,174874,78441,96433,96433,44.855724693207684,55.14427530679232,55.14427530679232,42.07666394884779,44.855724693207684,100.0
30%,262311,179955,82356,82356,68.6036803641479,31.396319635852098,31.396319635852098,55.82328455563661,39.673517313418046,71.06983694927014
